x,y,z
7.926751375198364258e-01,-6.477618124336004257e-03,1.969729042053222656e+01
7.928702235221862793e-01,-6.475319154560565948e-03,1.969714546203613281e+01
7.930653095245361328e-01,-6.473019719123840332e-03,1.969700050354003906e+01
7.932604551315307617e-01,-6.470719818025827408e-03,1.969685554504394531e+01
7.934555411338806152e-01,-6.468419451266527176e-03,1.969671249389648438e+01
7.936506867408752441e-01,-6.466119084507226944e-03,1.969656753540039062e+01
7.938457727432250977e-01,-6.463818717747926712e-03,1.969642257690429688e+01
7.940409183502197266e-01,-6.461517885327339172e-03,1.969627761840820312e+01
7.942360043525695801e-01,-6.459216587245464325e-03,1.969613265991210938e+01
7.944311499595642090e-01,-6.456914823502302170e-03,1.969598770141601562e+01
7.946262955665588379e-01,-6.454613059759140015e-03,1.969584274291992188e+01
7.948213815689086914e-01,-6.452310830354690552e-03,1.969569778442382812e+01
7.950165271759033203e-01,-6.450008600950241089e-03,1.969555282592773438e+01
7.952116727828979492e-01,-6.447705905884504318e-03,1.969540786743164062e+01
7.954068183898925781e-01,-6.445402745157480240e-03,1.969526290893554688e+01
7.956019639968872070e-01,-6.443099584430456161e-03,1.969511795043945312e+01
7.957971096038818359e-01,-6.440795958042144775e-03,1.969497299194335938e+01
7.959922552108764648e-01,-6.438491865992546082e-03,1.969482803344726562e+01
7.961874604225158691e-01,-6.436187773942947388e-03,1.969468307495117188e+01
7.963826060295104980e-01,-6.433883216232061386e-03,1.969453811645507812e+01
7.965777516365051270e-01,-6.431578658521175385e-03,1.969439315795898438e+01
7.967728972434997559e-01,-6.429273635149002075e-03,1.969424819946289062e+01
7.969681024551391602e-01,-6.426968146115541458e-03,1.969410324096679688e+01
7.971632480621337891e-01,-6.424662657082080841e-03,1.969395828247070312e+01
7.973584532737731934e-01,-6.422356702387332916e-03,1.969381141662597656e+01
7.975535988807678223e-01,-6.420050282031297684e-03,1.969366645812988281e+01
7.977488040924072266e-01,-6.417743861675262451e-03,1.969352149963378906e+01
7.979440093040466309e-01,-6.415436975657939911e-03,1.969337654113769531e+01
7.981391549110412598e-01,-6.413130089640617371e-03,1.969323158264160156e+01
7.983343601226806641e-01,-6.410822737962007523e-03,1.969308471679687500e+01
7.985295653343200684e-01,-6.408514920622110367e-03,1.969293975830078125e+01
7.987247705459594727e-01,-6.406207103282213211e-03,1.969279479980468750e+01
7.989199757575988770e-01,-6.403898820281028748e-03,1.969264984130859375e+01
7.991151809692382812e-01,-6.401590071618556976e-03,1.969250297546386719e+01
7.993103861808776855e-01,-6.399281322956085205e-03,1.969235801696777344e+01
7.995055913925170898e-01,-6.396972574293613434e-03,1.969221305847167969e+01
7.997007966041564941e-01,-6.394662894308567047e-03,1.969206619262695312e+01
7.998960614204406738e-01,-6.392353214323520660e-03,1.969192123413085938e+01
8.000912666320800781e-01,-6.390043534338474274e-03,1.969177627563476562e+01
8.002864718437194824e-01,-6.387732923030853271e-03,1.969162940979003906e+01
8.004817366600036621e-01,-6.385422311723232269e-03,1.969148445129394531e+01
8.006769418716430664e-01,-6.383111700415611267e-03,1.969133949279785156e+01
8.008722066879272461e-01,-6.380800623446702957e-03,1.969119262695312500e+01
8.010674118995666504e-01,-6.378489080816507339e-03,1.969104766845703125e+01
8.012626767158508301e-01,-6.376177538186311722e-03,1.969090080261230469e+01
8.014579415321350098e-01,-6.373865529894828796e-03,1.969075584411621094e+01
8.016531467437744141e-01,-6.371553055942058563e-03,1.969060897827148438e+01
8.018484115600585938e-01,-6.369240581989288330e-03,1.969046401977539062e+01
8.020436763763427734e-01,-6.366927642375230789e-03,1.969031715393066406e+01
8.022389411926269531e-01,-6.364614702761173248e-03,1.969017219543457031e+01
8.024342060089111328e-01,-6.362301297485828400e-03,1.969002532958984375e+01
8.026294708251953125e-01,-6.359987426549196243e-03,1.968988037109375000e+01
8.028247356414794922e-01,-6.357673555612564087e-03,1.968973350524902344e+01
8.030200004577636719e-01,-6.355359219014644623e-03,1.968958854675292969e+01
8.032152652740478516e-01,-6.353044882416725159e-03,1.968944168090820312e+01
8.034105896949768066e-01,-6.350730080157518387e-03,1.968929672241210938e+01
8.036058545112609863e-01,-6.348414812237024307e-03,1.968914985656738281e+01
8.038011193275451660e-01,-6.346099544316530228e-03,1.968900299072265625e+01
8.039964437484741211e-01,-6.343783810734748840e-03,1.968885803222656250e+01
8.041917085647583008e-01,-6.341467611491680145e-03,1.968871116638183594e+01
8.043870329856872559e-01,-6.339151412248611450e-03,1.968856430053710938e+01
8.045822978019714355e-01,-6.336834747344255447e-03,1.968841934204101562e+01
8.047776222229003906e-01,-6.334518082439899445e-03,1.968827247619628906e+01
8.049728870391845703e-01,-6.332200951874256134e-03,1.968812561035156250e+01
8.051682114601135254e-01,-6.329883821308612823e-03,1.968797874450683594e+01
8.053635358810424805e-01,-6.327565759420394897e-03,1.968783378601074219e+01
8.055588603019714355e-01,-6.325248163193464279e-03,1.968768692016601562e+01
8.057541847229003906e-01,-6.322929635643959045e-03,1.968754005432128906e+01
8.059495091438293457e-01,-6.320611108094453812e-03,1.968739318847656250e+01
8.061448335647583008e-01,-6.318292580544948578e-03,1.968724822998046875e+01
8.063401579856872559e-01,-6.315973121672868729e-03,1.968710136413574219e+01
8.065354824066162109e-01,-6.313654128462076187e-03,1.968695449829101562e+01
8.067308068275451660e-01,-6.311334203928709030e-03,1.968680763244628906e+01
8.069261312484741211e-01,-6.309014279395341873e-03,1.968666076660156250e+01
8.071215152740478516e-01,-6.306693889200687408e-03,1.968651390075683594e+01
